Rang,Capitale,Pays,Population
1,Tokyo,Japon,33 413 000
2,Mexico,Mexique,22 414 319
3,Séoul,Corée du Sud,22 173 711
4,Jakarta,Indonésie,18 206 700
5,New Delhi,Inde,17 367 300
6,Le Caire,Égypte,16 244 700
7,Moscou,Russie,14 740 000
8,Buenos Aires,Argentine,14 235 106
9,Manille,Philippines,14 140 000
10,Londres,Royaume-Uni,13 229 219
12,Dhâkâ,Bangladesh,11 918 442
11,Paris,France,12 223 100
13,Pékin,Chine,20 690 000
14,Bangkok,Thaïlande,9 308 924
15,Lima,Pérou,8 270 000
16,Lisbonne,Portugal,7 450 000
17,Téhéran,Iran,6 758 845
18,Kinshasa,République démocratique du Congo,6 500 000
19,Santiago,Chili,6 000 000
20,Madrid,Espagne,5 500 000
21,Naypyidaw,Birmanie,5 500 000
22,Damas,Syrie,5 000 000
23,Singapour,Singapour,4 240 000
24,Ankara,Turquie,4 000 000
25,Luanda,Angola,4 000 000
26,Bagdad,Irak,3 800 000
27,Riyad,Arabie saoudite,3 700 000
28,Caracas,Venezuela,3 600 000
29,Athènes,Grèce,3 566 060
30,Berlin,Allemagne,3 400 000
31,Accra,Ghana,3 000 000
32,Hanoï,Viêt Nam,2 842 000
33,Kiev,Ukraine,2 800 000
34,Rome,Italie,2 800 000
35,Addis-Abeba,Éthiopie,2 600 000
36,Guatemala,Guatemala,2 500 000
37,Pyongyang,Corée du Nord,2 500 000
38,Tachkent,Ouzbékistan,2 500 000
39,Saint-Domingue,République dominicaine,2 400 000
40,Brasilia,Brésil,2 300 000
41,Nairobi,Kenya,2 100 000
42,San José,Costa Rica,2 100 000
43,Tunis,Tunisie,2 083 000
44,Alger,Algérie,2 030 000
45,Bucarest,Roumanie,2 020 000
46,Budapest,Hongrie,2 000 000
47,Conakry,Guinée,2 000 000
48,La Havane,Cuba,2 000 000
49,Port-au-Prince,Haïti,2 000 000
50,Dakar,Sénégal,1 999 000
51,Amman,Jordanie,1 900 000
52,Bogota,Colombie,1 900 000
53,Stockholm,Suède,1 800 000
54,Kaboul,Afghanistan,1 780 000
55,Bakou,Azerbaïdjan,1 727 200
56,San Salvador,Salvador,1 700 000
57,Minsk,Biélorussie,1 699 000
58,Varsovie,Pologne,1 690 821
